country_old,country,region_old,region,adm1_old,adm1,adm2_old,adm2
Benin,Benin,NA,NA,Oueme,Oueme,Adjarra,Adjarra
Benin,Benin,NA,NA,Oueme,Oueme,Adjohoun,Adjohoun
Benin,Benin,NA,NA,Oueme,Oueme,Aguegues,Aguegues
Benin,Benin,NA,NA,Oueme,Oueme,Akpo-Misserete,Akpo-Misserete
Benin,Benin,NA,NA,Oueme,Oueme,Avrankou,Avrankou
Benin,Benin,NA,NA,Oueme,Oueme,Bonou,Bonou
Benin,Benin,NA,NA,Oueme,Oueme,Dangbo,Dangbo
Benin,Benin,NA,NA,Oueme,Oueme,Porto-Novo,Porto-Novo
Benin,Benin,NA,NA,Oueme,Oueme,Seme-Kpodji,Seme-Kpodji
Benin,Benin,NA,NA,Plateau,Plateau,Adja-Ouere,Adja-Ouere
Benin,Benin,NA,NA,Plateau,Plateau,Ifangni,Ifangni
Benin,Benin,NA,NA,Plateau,Plateau,Ketou,Ketou
Benin,Benin,NA,NA,Plateau,Plateau,Pobe,Pobe
Benin,Benin,NA,NA,Plateau,Plateau,Sakete,Sakete
Benin,Benin,NA,NA,Zou,Zou,Abomey,Abomey
Benin,Benin,NA,NA,Zou,Zou,Agbangnizoun,Agbangnizoun
Benin,Benin,NA,NA,Zou,Zou,Bohicon,Bohicon
Benin,Benin,NA,NA,Zou,Zou,Cove,Cove
Benin,Benin,NA,NA,Zou,Zou,Djidja,Djidja
Benin,Benin,NA,NA,Zou,Zou,Ouinhi,Ouinhi
Benin,Benin,NA,NA,Zou,Zou,Zagnanado,Zagnanado
Benin,Benin,NA,NA,Zou,Zou,Za-Kpota,Za-Kpota
Benin,Benin,NA,NA,Zou,Zou,Zogbodomey,Zogbodomey
Benin,Benin,NA,NA,ATACORA,Atacora,Boukombé,Boukombe
Benin,Benin,NA,NA,ATACORA,Atacora,Cobly,Cobly
Benin,Benin,NA,NA,ATACORA,Atacora,Kérou,Kerou
Benin,Benin,NA,NA,ATACORA,Atacora,Kouandé,Kouande
Benin,Benin,NA,NA,ATACORA,Atacora,Matéri,Materi
Benin,Benin,NA,NA,ATACORA,Atacora,Natitingou,Natitingou
Benin,Benin,NA,NA,ATACORA,Atacora,Péhunco,Pehunco
Benin,Benin,NA,NA,ATACORA,Atacora,Tanguiéta,Tanguieta
Benin,Benin,NA,NA,ATACORA,Atacora,Toucountouna,Toucountouna
Benin,Benin,NA,NA,DONGA,Donga,Bassila,Bassila
Benin,Benin,NA,NA,DONGA,Donga,Copargo,Copargo
Benin,Benin,NA,NA,DONGA,Donga,Djougou,Djougou
Benin,Benin,NA,NA,DONGA,Donga,Ouaké,Ouake
Benin,Benin,NA,NA,Altantique,Altantique,Allada,Allada
Benin,Benin,NA,NA,Altantique,Altantique,Kpomassè,Kpomasse
Benin,Benin,NA,NA,Altantique,Altantique,Abomey-calavi,Abomey-Calavi
Benin,Benin,NA,NA,Altantique,Altantique,Ouidah,Ouidah
Benin,Benin,NA,NA,Altantique,Altantique,Toffo,Toffo
Benin,Benin,NA,NA,Altantique,Altantique,Torri-Bossito,Torri-Bossito
Benin,Benin,NA,NA,Altantique,Altantique,Zè,Ze
Benin,Benin,NA,NA,Altantique,Altantique,Sô-Ava,So-Ava
Benin,Benin,NA,NA,LITTORAL,Littoral,COTONOU,Cotonou
Benin,Benin,NA,NA,Alibori,Alibori,Ségbana,Segbana
Benin,Benin,NA,NA,Borgou,Borgou,Kalalé,Kalale
Benin,Benin,NA,NA,Couffo,Couffo,Aplahoué,Aplahoue
Benin,Benin,NA,NA,Couffo,Couffo,Klouèkamey,Klouekamey
Benin,Benin,NA,NA,Mono,Mono,Athiémé,Athieme
Benin,Benin,NA,NA,Mono,Mono,Comè,Come
Benin,Benin,NA,NA,Mono,Mono,Grand-popo,Grand-Popo
Benin,Benin,NA,NA,Mono,Mono,Houéyogbé,Houeyogbe
Benin,Benin,NA,NA,Ouémé,Oueme,Adjarra,Adjarra
Benin,Benin,NA,NA,Ouémé,Oueme,Adjohou,Adjohou
Benin,Benin,NA,NA,Ouémé,Oueme,Aguégués,Aguegues
Benin,Benin,NA,NA,Ouémé,Oueme,Akpro Missereté,Akpro Misserete
Benin,Benin,NA,NA,Ouémé,Oueme,Avrankou,Avrankou
Benin,Benin,NA,NA,Ouémé,Oueme,Bonou,Bonou
Benin,Benin,NA,NA,Ouémé,Oueme,Dangbo,Dangbo
Benin,Benin,NA,NA,Ouémé,Oueme,Porto-Novo,Porto-Novo
Benin,Benin,NA,NA,Ouémé,Oueme,Sèmè-Podji,Seme-Podji
Benin,Benin,NA,NA,Plateau,Plateau,Adja Ouèrè,Adja Ouere
Benin,Benin,NA,NA,Plateau,Plateau,Kétou,Ketou
Benin,Benin,NA,NA,Plateau,Plateau,Pobè,Pobe
Benin,Benin,NA,NA,Plateau,Plateau,Sakété,Sakete
Benin,Benin,NA,NA,Collines,Collines,Bantè,Bante
Benin,Benin,NA,NA,Collines,Collines,Dassa-Zoumè,Dassa-Zoume
Benin,Benin,NA,NA,Collines,Collines,Glazoué,Glazoue
Benin,Benin,NA,NA,Collines,Collines,Savè,Save
Benin,Benin,NA,NA,Collines,Collines,Ouessè,Ouesse
Benin,Benin,NA,NA,Zou,Zou,Za-kpota,Za-Kpota
Burkina Faso,Burkina Faso,NA,NA,Centre,Centre,Kadiogo,Kadiogo
Burkina Faso,Burkina Faso,NA,NA,Plateau Central,Plateau Central,Ganzourgou,Ganzourgou
Burkina Faso,Burkina Faso,NA,NA,Plateau Central,Plateau Central,Oubritenga,Oubritenga
Burkina Faso,Burkina Faso,NA,NA,Plateau Central,Plateau Central,Kourweogo,Kourweogo
Burkina Faso,Burkina Faso,NA,NA,Centre-Nord,Centre-Nord,Bam,Bam
Burkina Faso,Burkina Faso,NA,NA,Centre-Nord,Centre-Nord,Namentenga,Namentenga
Burkina Faso,Burkina Faso,NA,NA,Centre-Nord,Centre-Nord,Sanmatenga,Sanmatenga
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,Boulkiemde,Boulkiemde
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,Sanguie,Sanguie
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,Sissili,Sissili
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,Ziro,Ziro
Burkina Faso,Burkina Faso,NA,NA,Centre-Sud,Centre-Sud,Bazega,Bazega
Burkina Faso,Burkina Faso,NA,NA,Centre-Sud,Centre-Sud,Nahouri,Nahouri
Burkina Faso,Burkina Faso,NA,NA,Centre-Sud,Centre-Sud,Zoundweogo,Zoundweogo
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,Oudalan,Oudalan
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,Seno,Seno
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,Soum,Soum
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,Yagha,Yagha
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,Kossi,Kossi
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,Mouhoun,Mouhoun
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,Sourou,Sourou
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,Bale,Bale
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,Banwa,Banwa
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,Nayala,Nayala
Burkina Faso,Burkina Faso,NA,NA,Est,Est,Gnagna,Gnagna
Burkina Faso,Burkina Faso,NA,NA,Est,Est,Gourma,Gourma
Burkina Faso,Burkina Faso,NA,NA,Est,Est,Tapoa,Tapoa
Burkina Faso,Burkina Faso,NA,NA,Est,Est,Komonjdjari,Komonjdjari
Burkina Faso,Burkina Faso,NA,NA,Est,Est,Kompienga,Kompienga
Burkina Faso,Burkina Faso,NA,NA,Centre-Est,Centre-Est,Boulgou,Boulgou
Burkina Faso,Burkina Faso,NA,NA,Centre-Est,Centre-Est,Kouritenga,Kouritenga
Burkina Faso,Burkina Faso,NA,NA,Centre-Est,Centre-Est,Koulpelogo,Koulpelogo
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,Loroum,Loroum
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,Passore,Passore
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,Yatenga,Yatenga
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,Zondoma,Zondoma
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,Bougouriba,Bougouriba
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,Poni,Poni
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,Ioba,Ioba
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,Noumbiel,Noumbiel
Burkina Faso,Burkina Faso,NA,NA,Hauts-Bassins,Hauts-Bassins,Houet,Houet
Burkina Faso,Burkina Faso,NA,NA,Hauts-Bassins,Hauts-Bassins,Kenedougou,Kenedougou
Burkina Faso,Burkina Faso,NA,NA,Hauts-Bassins,Hauts-Bassins,Tuy,Tuy
Burkina Faso,Burkina Faso,NA,NA,Cascades,Cascades,Comoe,Comoe
Burkina Faso,Burkina Faso,NA,NA,Cascades,Cascades,Leraba,Leraba
Burkina Faso,Burkina Faso,NA,NA,CENTRE,Centre,Kadiogo rurale,Kadiogo Rurale
Burkina Faso,Burkina Faso,NA,NA,PLATEAU CENTRAL,Plateau Central,Ganzourgou,Ganzourgou
Burkina Faso,Burkina Faso,NA,NA,PLATEAU CENTRAL,Plateau Central,Oubritenga,Oubritenga
Burkina Faso,Burkina Faso,NA,NA,PLATEAU CENTRAL,Plateau Central,Kourw�ogo,NA
Burkina Faso,Burkina Faso,NA,NA,CENTRE-SUD,Centre-Sud,Baz�ga,NA
Burkina Faso,Burkina Faso,NA,NA,CENTRE-SUD,Centre-Sud,Nahouri,Nahouri
Burkina Faso,Burkina Faso,NA,NA,CENTRE-SUD,Centre-Sud,Zoundweogo,Zoundweogo
Burkina Faso,Burkina Faso,NA,NA,CENTRE-EST,Centre-Est,Boulgou,Boulgou
Burkina Faso,Burkina Faso,NA,NA,CENTRE-EST,Centre-Est,Kouritenga,Kouritenga
Burkina Faso,Burkina Faso,NA,NA,CENTRE-EST,Centre-Est,Koulp�lgo,NA
Burkina Faso,Burkina Faso,NA,NA,HAUTS-BASSINS,Hauts-Bassins,Houet,Houet
Burkina Faso,Burkina Faso,NA,NA,HAUTS-BASSINS,Hauts-Bassins,K�n�dougou,NA
Burkina Faso,Burkina Faso,NA,NA,HAUTS-BASSINS,Hauts-Bassins,Tuy,Tuy
Burkina Faso,Burkina Faso,NA,NA,CASCADES,Cascades,Como�,NA
Burkina Faso,Burkina Faso,NA,NA,CASCADES,Cascades,L�raba,NA
Burkina Faso,Burkina Faso,NA,NA,CENTRE-NORD,Centre-Nord,Bam,Bam
Burkina Faso,Burkina Faso,NA,NA,CENTRE-NORD,Centre-Nord,Namentenga,Namentenga
Burkina Faso,Burkina Faso,NA,NA,CENTRE-NORD,Centre-Nord,Sanmatenga,Sanmatenga
Burkina Faso,Burkina Faso,NA,NA,CENTRE-OUEST,Centre-Ouest,Boulki�md�,NA
Burkina Faso,Burkina Faso,NA,NA,CENTRE-OUEST,Centre-Ouest,Sangui�,NA
Burkina Faso,Burkina Faso,NA,NA,CENTRE-OUEST,Centre-Ouest,Sissili,Sissili
Burkina Faso,Burkina Faso,NA,NA,CENTRE-OUEST,Centre-Ouest,Ziro,Ziro
Burkina Faso,Burkina Faso,NA,NA,SAHEL,Sahel,Oudalan,Oudalan
Burkina Faso,Burkina Faso,NA,NA,SAHEL,Sahel,S�no,NA
Burkina Faso,Burkina Faso,NA,NA,SAHEL,Sahel,Soum,Soum
Burkina Faso,Burkina Faso,NA,NA,SAHEL,Sahel,Yagha,Yagha
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Passor�,NA
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Yatenga,Yatenga
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Loroum,Loroum
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Zondoma,Zondoma
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,BALES,Bales
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,BANWA,Banwa
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,KOSSI,Kossi
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,MOUHOUN,Mouhoun
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,NAYALA,Nayala
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,SOUROU,Sourou
Burkina Faso,Burkina Faso,NA,NA,Sud Ouest,Sud Ouest,BOUGOURIBA,Bougouriba
Burkina Faso,Burkina Faso,NA,NA,Sud Ouest,Sud Ouest,IOBA,Ioba
Burkina Faso,Burkina Faso,NA,NA,Sud Ouest,Sud Ouest,NOUMBIEL,Noumbiel
Burkina Faso,Burkina Faso,NA,NA,Sud Ouest,Sud Ouest,PONI,Poni
Burkina Faso,Burkina Faso,NA,NA,Est,Est,GNAGNA,Gnagna
Burkina Faso,Burkina Faso,NA,NA,Est,Est,GOURMA,Gourma
Burkina Faso,Burkina Faso,NA,NA,Est,Est,KOMANDJOARI,Komandjoari
Burkina Faso,Burkina Faso,NA,NA,Est,Est,TAPOA,Tapoa
Burkina Faso,Burkina Faso,NA,NA,Est,Est,KOMPIENGA,Kompienga
Burkina Faso,Burkina Faso,NA,NA,CENTRE,Centre,Kadiogo,Kadiogo
Burkina Faso,Burkina Faso,NA,NA,MOUHOUN,Mouhoun,Kossi,Kossi
Burkina Faso,Burkina Faso,NA,NA,MOUHOUN,Mouhoun,Mouhoun,Mouhoun
Burkina Faso,Burkina Faso,NA,NA,MOUHOUN,Mouhoun,Sourou,Sourou
Burkina Faso,Burkina Faso,NA,NA,MOUHOUN,Mouhoun,Bal�,NA
Burkina Faso,Burkina Faso,NA,NA,MOUHOUN,Mouhoun,Banwa,Banwa
Burkina Faso,Burkina Faso,NA,NA,MOUHOUN,Mouhoun,Nayala,Nayala
Burkina Faso,Burkina Faso,NA,NA,EST,Est,Gnagna,Gnagna
Burkina Faso,Burkina Faso,NA,NA,EST,Est,Gourma,Gourma
Burkina Faso,Burkina Faso,NA,NA,EST,Est,Tapoa,Tapoa
Burkina Faso,Burkina Faso,NA,NA,EST,Est,Komandjoari,Komandjoari
Burkina Faso,Burkina Faso,NA,NA,EST,Est,Kompienga,Kompienga
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Lorum,Lorum
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Passore,Passore
Burkina Faso,Burkina Faso,NA,NA,SUD-OUEST,Sud-Ouest,Bougouriba,Bougouriba
Burkina Faso,Burkina Faso,NA,NA,SUD-OUEST,Sud-Ouest,Poni,Poni
Burkina Faso,Burkina Faso,NA,NA,SUD-OUEST,Sud-Ouest,Ioba,Ioba
Burkina Faso,Burkina Faso,NA,NA,SUD-OUEST,Sud-Ouest,Noumbiel,Noumbiel
Burkina Faso,Burkina Faso,NA,NA,NORD,Nord,Zandoma,Zandoma
Burkina Faso,Burkina Faso,NA,NA,Centre,Centre,KADIOGO,Kadiogo
Burkina Faso,Burkina Faso,NA,NA,Plateau Central,Plateau Central,GANZOURGOU,Ganzourgou
Burkina Faso,Burkina Faso,NA,NA,Plateau Central,Plateau Central,OUBRITENGA,Oubritenga
Burkina Faso,Burkina Faso,NA,NA,Plateau Central,Plateau Central,KOURWEOGO,Kourweogo
Burkina Faso,Burkina Faso,NA,NA,Centre-Nord,Centre-Nord,BAM,Bam
Burkina Faso,Burkina Faso,NA,NA,Centre-Nord,Centre-Nord,NAMENTENGA,Namentenga
Burkina Faso,Burkina Faso,NA,NA,Centre-Nord,Centre-Nord,SANMATENGA,Sanmatenga
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,BOULKIEMDE,Boulkiemde
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,SANGUIE,Sanguie
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,SISSILI,Sissili
Burkina Faso,Burkina Faso,NA,NA,Centre-Ouest,Centre-Ouest,ZIRO,Ziro
Burkina Faso,Burkina Faso,NA,NA,Centre-Sud,Centre-Sud,BAZEGA,Bazega
Burkina Faso,Burkina Faso,NA,NA,Centre-Sud,Centre-Sud,NAHOURI,Nahouri
Burkina Faso,Burkina Faso,NA,NA,Centre-Sud,Centre-Sud,ZOUNDWEOGO,Zoundweogo
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,OUDALAN,Oudalan
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,SENO,Seno
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,SOUM,Soum
Burkina Faso,Burkina Faso,NA,NA,Sahel,Sahel,YAGHA,Yagha
Burkina Faso,Burkina Faso,NA,NA,Boucle du Mouhoun,Boucle Du Mouhoun,BALE,Bale
Burkina Faso,Burkina Faso,NA,NA,Centre-Est,Centre-Est,BOULGOU,Boulgou
Burkina Faso,Burkina Faso,NA,NA,Centre-Est,Centre-Est,KOURITENGA,Kouritenga
Burkina Faso,Burkina Faso,NA,NA,Centre-Est,Centre-Est,KOULPELOGO,Koulpelogo
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,PASSORE,Passore
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,YATENGA,Yatenga
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,LOROUM,Loroum
Burkina Faso,Burkina Faso,NA,NA,Nord,Nord,ZONDOMA,Zondoma
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,BOUGOURIBA,Bougouriba
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,PONI,Poni
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,IOBA,Ioba
Burkina Faso,Burkina Faso,NA,NA,Sud-Ouest,Sud-Ouest,NOUMBIEL,Noumbiel
Burkina Faso,Burkina Faso,NA,NA,Hauts-Bassins,Hauts-Bassins,HOUET,Houet
Burkina Faso,Burkina Faso,NA,NA,Hauts-Bassins,Hauts-Bassins,KENEDOUGOU,Kenedougou
Burkina Faso,Burkina Faso,NA,NA,Hauts-Bassins,Hauts-Bassins,TUY,Tuy
Burkina Faso,Burkina Faso,NA,NA,Cascades,Cascades,COMOE,Comoe
Burkina Faso,Burkina Faso,NA,NA,Cascades,Cascades,LERABA,Leraba
Cote d'Ivoire,Cote d'Ivoire,Nord,Nord,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Ouest,Ouest,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Nord Ouest,Nord Ouest,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Nord Est,Nord Est,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Centre,Centre,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Centre Est,Centre Est,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Centre Ouest,Centre Ouest,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Sud Ouest,Sud Ouest,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Sud,Sud,NA,NA,NA,NA
Cote d'Ivoire,Cote d'Ivoire,Centre Nord,Centre Nord,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Nord,Nord,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Ouest,Ouest,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Nord Ouest,Nord Ouest,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Nord Est,Nord Est,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Centre,Centre,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Centre Est,Centre Est,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Centre Ouest,Centre Ouest,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Sud Ouest,Sud Ouest,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Sud,Sud,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,Centre Nord,Centre Nord,NA,NA,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD NORD OUEST,Nord,Folon,Folon,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD NORD OUEST,Nord,Kabadougou,Kabadougou,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD NORD,Nord,PORO,Poro,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD NORD,Nord,TCHOLOGO,Tchologo,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD NORD,Nord,BAGOUE,Bagoue,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD CENTRE OUEST,Centre Ouest,Région du GOH,Region Du Goh,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD CENTRE OUEST,Centre Ouest,Région du GUEMON,Region Du Guemon,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD CENTRE OUEST,Centre Ouest,Région de la MARAHOUE,Region De La Marahoue,NA,NA
Cote d’Ivoire,Cote d'Ivoire,PAD CENTRE OUEST,Centre Ouest,Région du HAUT-SASSANDRA,Region Du Haut-Sassandra,NA,NA
Cabo Verde,Cabo Verde,S. Nicolau,Sao Nicolau,R. Brava,Ribeira Brava,NA,NA
Cabo Verde,Cabo Verde,S. Nicolau,Sao Nicolau,Tarrafal,Tarrafal de Sao Nicolau,NA,NA
Cabo Verde,Cabo Verde,Sal,Sal,Sal,Sal,NA,NA
Cabo Verde,Cabo Verde,Santo Antao,Santo Antao,Ribeira Grande,Ribeira Grande,NA,NA
Cabo Verde,Cabo Verde,Santo Antao,Santo Antao,Paul,Paul,NA,NA
Cabo Verde,Cabo Verde,Santo Antao,Santo Antao,Porto Novo,Porto Novo,NA,NA
Cabo Verde,Cabo Verde,SANTIAGO,Santiago,Santa Catarina,Santa Catarina,NA,NA
Cabo Verde,Cabo Verde,SANTIAGO,Santiago,São Miguel,Sao Miguel,NA,NA
Cabo Verde,Cabo Verde,SANTIAGO,Santiago,Praia,Praia,NA,NA
Cabo Verde,Cabo Verde,SANTIAGO,Santiago,S.Lourenço dos Órgãos,Sao Lourenco dos Orgaos,NA,NA
Cabo Verde,Cabo Verde,FOGO,Fogo,São Filipe,Sao Filipe,NA,NA
Cabo Verde,Cabo Verde,FOGO,Fogo,Mosteiros,Mosteiros,NA,NA
Cabo Verde,Cabo Verde,FOGO,Fogo,Santa Catarina,Santa Catarina,NA,NA
Cabo Verde,Cabo Verde,MAIO,Maio,Maio,Maio,NA,NA
Cabo Verde,Cabo Verde,BRAVA,Brava,Brava,Brava,NA,NA
Cabo Verde,Cabo Verde,Santiago,Santiago,Praia,Praia,NA,NA
Cabo Verde,Cabo Verde,Santiago,Santiago,Ribeira GST,Ribeira Grande de Santiago,NA,NA
Cabo Verde,Cabo Verde,Santiago,Santiago,S: Cruz,Santa Cruz,NA,NA
Cabo Verde,Cabo Verde,Santiago,Santiago,Tarrafal,Tarrafal,NA,NA
Cabo Verde,Cabo Verde,Santiago,Santiago,S. Domingos,Sao Domingos,NA,NA
